id,title,content,date,source
1,HDFC Bank Announces 15% Dividend,HDFC Bank declared a 15% dividend for shareholders as part of its FY25 results. The bank also reported strong loan growth and improved asset quality.,2025-11-01,MoneyControl
2,RBI Raises Repo Rate by 25bps,The Reserve Bank of India increased the repo rate by 25 basis points to combat persistent inflation pressures in Q4 2025.,2025-11-02,RBI
3,ICICI Bank Opens 500 New Branches,"ICICI Bank announced a major expansion plan with 500 new branches across Tier-2 and Tier-3 cities, focusing on rural penetration.",2025-10-29,Economic Times
4,Banking Sector NPAs Decline,"A report from the Finance Ministry revealed that Indian banking sector NPAs have dropped to a five-year low, driven by recovery mechanisms.",2025-10-20,Financial Express
5,SEBI Issues New IPO Guidelines,SEBI introduced stricter IPO disclosure norms to improve transparency for retail investors starting January 2026.,2025-11-05,SEBI
6,Reliance Retail Q2 Profit Jumps 18%,"Reliance Retail posted an 18% YoY increase in Q2 profits, driven by robust store expansion and strong e-commerce performance.",2025-11-06,Business Standard
7,TCS Wins $1B Global IT Contract,Tata Consultancy Services secured a $1 billion multi-year cloud transformation deal from a European banking client.,2025-11-03,LiveMint
8,Infosys Expands AI Services,"Infosys announced a major upgrade to its AI consulting division, targeting BFSI and retail clients globally.",2025-10-18,Economic Times
9,Adani Ports Traffic Grows 14%,"Adani Ports reported 14% growth in cargo traffic for October, driven by strong coal and container movement.",2025-11-04,MoneyControl
10,Maruti Suzuki Launches New Hybrid SUV,Maruti Suzuki unveiled its all-new hybrid SUV featuring best-in-segment mileage and advanced safety systems.,2025-10-30,Autocar India
11,RBI Maintains Hawkish Stance,"The RBI stated in its monetary policy briefing that inflation remains a concern, hinting at further rate hikes if needed.",2025-11-08,RBI
12,Tech Sector Sees Strong Q3 Hiring,"India’s technology sector continues to hire aggressively in AI and cloud roles, with over 40,000 openings in Q3.",2025-10-23,NASSCOM
14,Steel Prices Rise 6%,Steel manufacturers raised prices by 6% due to increased input costs and global supply constraints.,2025-11-02,Business Standard
15,Oil Prices Fall Below $80,Global crude oil prices slipped below $80 as concerns over global demand slowdown intensified.,2025-11-05,Reuters
16,US Fed Holds Interest Rates,The US Federal Reserve decided to keep interest rates unchanged while signalling caution about inflation risks.,2025-11-01,Bloomberg
17,Gold Prices Hit 2-Month High,Gold prices in India surged to a two-month high driven by global uncertainty and weaker dollar trends.,2025-11-06,Economic Times
18,RBI Introduces New Digital Rupee Rules,"RBI issued new compliance rules for the Digital Rupee pilot, expanding support to private banks.",2025-11-04,RBI
19,HDFC Bank Opens 120 New Branches,HDFC Bank continues expansion by adding 120 new branches across India to improve financial inclusion.,2025-10-22,MoneyControl
20,Banking Credit Growth Rises 16%,"A study by IBA indicated that banking sector credit growth touched 16%, driven by retail and MSME lending.",2025-10-25,Financial Express
21,SEBI Investigates Insider Trading Case,SEBI launched an investigation into suspected insider trading connected to a major pharma company.,2025-11-02,SEBI
22,Air India Orders 25 New Aircraft,Air India announced an order of 25 new aircraft as part of its fleet expansion strategy.,2025-10-28,Times of India
23,SpiceJet Faces Funding Challenges,SpiceJet continues facing liquidity issues as lenders demand fresh guarantees for loan restructuring.,2025-11-03,LiveMint
24,Coal India Production Up 11%,Coal India reported an 11% rise in output during October amid increasing festival season electricity demand.,2025-11-01,Financial Express
25,Bajaj Finance Launches New Loan Products,Bajaj Finance introduced new pre-approved digital loan offerings for salaried and self-employed individuals.,2025-11-05,MoneyControl
26,Indian Rupee Slips to 84.1,The Indian rupee weakened to 84.1 against the US dollar due to global risk-off sentiment.,2025-11-07,Business Standard
27,Paytm Announces New UPI Features,Paytm launched advanced UPI security features to reduce fraud and improve transaction safety.,2025-10-27,LiveMint
29,Nifty Hits All-Time High,The Nifty50 index touched a record high driven by strong banking and IT sector performance.,2025-11-04,MoneyControl
30,Global Markets Rally on Inflation Cooldown,Global stock markets rallied as inflation cooled in major economies including the US and UK.,2025-11-03,Reuters
